가맹점코드,가맹점명,사업자등록번호,지류취급여부,전자취급여부,모바일취급여부,한도금액
11011900474,협신상회,1010657147,Y,Y,N,3100000
43110100229,딸과함께하는레드브릭,4931700267,Y,Y,Y,3100000
38011100011,오크엔틱가구갤러리,3030377694,Y,N,N,3100000
55011600174,이화상사,4170514880,Y,N,N,3100000
70210600616,대풍농산,5049188919,Y,Y,N,10000000
46910400066,짱구열쇠,1260662732,Y,N,Y,3100000
76010200111,현대수예사,5080920293,Y,Y,Y,3100000
9171200005,관고상회,1055700575,Y,Y,Y,3100000
15610300136,라성수산,1089213196,Y,N,N,3100000
13610400087,재원이네,7620301092,Y,N,Y,8000000
30210300393,계룡마트도마점,1326500155,Y,Y,Y,20000000
2092200016,김밥앤친구들,6061541249,Y,Y,Y,3100000
15011700053,미래정보2,8351100095,Y,Y,Y,3100000
50111100065,김가네,4081772929,Y,Y,Y,3100000
57011400052,형제약초,4039869597,Y,Y,Y,3100000
30012900106,영국수제생돈까스,1720802084,Y,N,N,3100000
23010300103,또래오래영월점,6075821258,Y,N,N,3100000
38010700542,마니또와,3030962515,Y,Y,Y,10000000
10014000020,바른자세운동원,8333000125,Y,Y,Y,3100000
40211412210,로즈,7051600881,Y,Y,Y,3100000
42210600093,새두부,1309161024,Y,N,Y,8000000
36910500041,아리따움대소점,7393200400,Y,Y,Y,3100000
43010300217,삼세종합약국,6267600165,Y,Y,Y,3100000
13310600061,서울수산,8279900239,Y,Y,Y,5000000
43510300405,돌깨마을맷돌순두부,2081299283,Y,Y,Y,3100000
69010700156,세창상회,8559800557,Y,Y,N,5000000
70310100365,오성상회,5041638163,Y,N,N,3100000
60711500057,경현화장품,6150659789,Y,Y,Y,3100000
40510200080,대가떡방아간,1311754827,Y,Y,Y,3100000
50210100084,신세계공구,4100973590,Y,Y,Y,3100000
15310200040,정이불,5794500088,Y,Y,Y,3100000
4005200015,장터홍두깨 칼국수,5501102547,Y,Y,Y,3100000
50110300368,고창수산유통,7448100813,Y,N,N,3100000
68110800171,나나미용실,6100786124,Y,Y,Y,3100000
12211000006,궁중한방족발,1100920418,Y,Y,Y,3100000
13510700107,슈미,1140356653,Y,N,Y,8000000
13310500306,한근,2068663738,Y,Y,N,3100000
10010200967,명제사,1043412064,Y,Y,Y,5000000
76010200376,팔자상회,1099733832,Y,N,Y,10000000
15611100014,신선식품,1089125676,Y,Y,Y,3100000
55011600028,비치쌈밥,4170493928,Y,Y,Y,3100000
40510412676,하이앤축산,3119079636,Y,Y,Y,3100000
44210700285,홍익상사,5280101692,Y,Y,Y,3100000
79010200225,현대상회,5062317707,Y,Y,N,3100000
9225200004,초당마을,1291268963,Y,Y,N,3100000
23510200032,우신상회,2280172088,Y,Y,Y,3100000
46710800120,이기례갤러리,1440221110,Y,Y,Y,3100000
30010400034,지성상회,3060112662,Y,Y,Y,3100000
42010200255,명조명,8155000765,Y,Y,Y,3100000
30610400157,삼천청과,5169701052,Y,Y,N,3100000
10011600732,솔로,6600701533,Y,N,N,3100000
68910700140,아이리스안경원,6101174760,Y,Y,Y,3100000
70010800565,대원상회,5042875759,Y,Y,Y,5000000
60011300095,블랙박스,6022104336,Y,Y,Y,3100000
63111000042,오가리수제비,4020842444,Y,Y,Y,3100000
61710200016,건갤러리,6061127346,Y,Y,Y,3100000
10012400205,장식병,1040439085,Y,Y,Y,3100000
69710200293,요기올레,5409700702,Y,Y,Y,3100000
13067200007,모어모어,4742500882,Y,Y,Y,3100000
40411714993,크린토피아,1370908331,Y,Y,Y,3100000
22510100172,송가네횟집,2092967216,Y,Y,Y,3100000
25210600044,띵호와,4486200307,Y,Y,Y,3100000
10010101055,대원식품,5603200027,Y,Y,Y,15000000
56010800073,남노갈비서부시장점,3387300156,Y,N,N,3100000
35710400008,삼구닭강정,6834500510,Y,Y,N,3100000
30012900117,홍을래부침,5695300539,Y,Y,Y,3100000
13810800182,칼라분식(TheColorPremium,2151499010,Y,Y,Y,3100000
61610200159,구포제분소,6060642076,Y,N,N,3100000
76610200279,제일꽃집,5079033056,Y,N,N,3100000
65610100385,소문난떡집,5793400670,Y,Y,Y,3100000
13210600020,팔도건어물,3099324653,Y,Y,Y,3100000
68110700237,대성곰장어,6200512514,Y,Y,Y,3100000
30012700030,나나,3053383559,Y,N,N,3100000
79010200169,일신지업,5062319476,Y,Y,Y,3100000
6001200004,명문콜렉션,4971200089,Y,Y,Y,3100000
70010600224,몽살롱,5043113485,Y,Y,Y,3100000
60810100057,대연상회,6171038152,Y,Y,N,3100000
60010400090,포항식당,6020723813,Y,Y,Y,3100000
56510200041,완주축산조합초원정육,4029131589,Y,Y,Y,3100000
44910100371,다튀기는마니컵,2363700866,Y,Y,Y,3100000
46310100114,니트 하우스 원,1292518352,Y,Y,Y,3100000
55010400164,장미 수선,8151801556,Y,Y,Y,3100000
40510213646,통큰소곱창,1313629519,Y,Y,Y,3100000
66011500051,가위나라,6132166481,Y,N,Y,3100000
44010300138,떡먹기좋은날,6780800814,Y,N,N,8000000
53610400032,오성포장,7941200239,Y,Y,Y,3100000
61210400066,선지할매,7392900661,Y,Y,Y,3100000
46510200070,둔내기름,1261801679,Y,Y,Y,10000000
63110900151,삼도식당,6080207591,Y,Y,Y,3100000
15110100052,심진축산,2189346462,Y,Y,Y,3100000
70212300111,건영화물,5041851554,Y,N,Y,3100000
70010600773,순흥상회,4472400660,Y,Y,Y,3100000
68111000181,대성상회,5289600044,Y,Y,Y,50000000
21710100225,속초명품젓갈,2279072930,Y,Y,Y,3100000
48010200515,모기발에워카,1270186580,Y,Y,Y,3100000
43510200254,가마치통닭,1730801939,Y,N,N,10000000
14031200001,뿌리숙녀복,4110443454,Y,Y,Y,3100000
44510600018,가장맛있는족발,1353118265,Y,Y,Y,3100000
45610400031,도람도람,8614800071,Y,Y,Y,3100000
31410200050,채운안경,3070233750,Y,Y,Y,3100000
33910600085,현이윤이수산,5399000402,Y,Y,Y,3100000
43111300013,데이지엘헤어범계점,3727400319,Y,Y,Y,3100000
11010100175,대성직물,2081664685,Y,Y,N,3100000
57310200098,뻥이랑강이내,4011152712,Y,Y,Y,3100000
75510100040,봉화건강원,5120632462,Y,N,N,3100000
1123200016,미순이네,3062692960,Y,Y,Y,3100000
60411200050,와글와글식품,1737600394,Y,Y,Y,3100000
14310100052,정말맛있는족발,2061198791,Y,Y,Y,3100000
15310600083,유창지하9호,1299157501,Y,Y,Y,3100000
56010400184,작품갤러리,6693100351,Y,Y,N,5000000
13010200079,참새포차,8163500708,Y,N,N,3100000
67610200124,청정해역,6110655705,Y,Y,Y,3100000
15611400022,요조제과,5102055301,Y,N,N,3100000
13310200040,대신카모터스,2062313136,Y,Y,Y,3100000
23510200237,시장튀김,8740500366,Y,Y,Y,3100000
36910100067,원조멸치국수,4806100060,Y,Y,Y,3100000
64110700322,황고집돼지갈비찜,8821200803,Y,Y,Y,3100000
48010200079,우정분식,1273993027,Y,Y,Y,3100000
23510200028,여원,2280101526,Y,Y,Y,3100000
43510300466,설빙산본점,1233396864,Y,Y,N,3100000
61410700051,소금,6040140247,Y,Y,Y,3100000
36010500326,팔도특산물,4589300841,Y,Y,Y,3100000
66011500280,남해해물,6139181016,Y,N,N,50000000
50210200129,양동신발백화점,1860900710,Y,N,Y,8000000
3142200002,앙마,2010947595,Y,Y,Y,3100000
40411715128,굽네치킨,1400175524,Y,Y,N,3100000
76011400065,고기쟁이,5080678493,Y,N,N,3100000
43110200215,피자캐슬,4481000875,Y,Y,Y,3100000
44710100232,명동청코너,1244709239,Y,Y,Y,3100000
40310614750,블링크,6421501281,Y,Y,Y,3100000
47610100362,벧엘떡까페,5914100402,Y,Y,Y,3100000
74510800090,영흥반점,5110665335,Y,Y,Y,3100000
40011113082,디스커버리 신포점,1371266383,Y,Y,Y,3100000
14310900024,오목대,2062248341,Y,Y,Y,3100000
65010300086,칠복상회,7751000476,Y,Y,N,5000000
45910100052,푸줏간,1109506966,Y,N,N,3100000
11034200007,수한이네 치킨,4743301436,Y,Y,Y,3100000
44710200007,사하라,1251354746,Y,N,N,3100000
50010200119,유명축산,7579200324,Y,Y,Y,3100000
14093200005,어나더 여수점,2973700949,Y,Y,Y,3100000
70310100252,리코,5042484191,Y,Y,Y,3100000
9041200048,중국슈퍼,3014014039,Y,Y,N,3100000
21010700062,경기도이천광주상회,2269753773,Y,Y,Y,3100000
45910100004,동원생선,6239400286,Y,Y,Y,3100000
60110300464,부흥상회,6043818678,Y,Y,N,3100000
40110100098,뷰티크레딧,1210133668,Y,Y,Y,3100000
64111300112,김밥천국,6092461718,Y,Y,N,3100000
54010200021,대정상회,4169098087,Y,N,N,3100000
44510300044,대한미곡상회,1249822699,Y,N,N,3100000
12039200008,바렌티노,3100925269,Y,Y,Y,3100000
68110900083,햇살가득한집,6201130401,Y,Y,Y,3100000
56010400479,미즈샵,3622600849,Y,Y,Y,3100000
40510200019,고향신발,1390315670,Y,Y,Y,3100000
14010200161,용문통닭,1893400730,Y,Y,Y,3100000
55012000017,순한한우 명품관,4088218336,Y,Y,Y,3100000
43010100263,고향누룽지,1233658589,Y,Y,Y,3100000
13410200155,수제핫바,6022791527,Y,Y,Y,3100000
70610400018,제일건어물,7359700595,Y,Y,Y,5000000
61411100003,삼우정보,6050196706,Y,Y,Y,3100000
55012000049,커피향기,4081898474,Y,Y,Y,3100000
68110500159,더서킷레이싱카페,8814500526,Y,Y,Y,3100000
33911600007,드림디포 세종중앙점,3121352487,Y,N,N,3100000
70210300348,수성상회,5049197984,Y,Y,Y,10000000
